visit_id,date,country,traffic_source,device_type,browser,page,session_duration_sec,pages_viewed,bounce,conversion
78,2025-08-03,Spain,Organic Search,Mobile,Firefox,/about,1110,9,0,0
79,2025-09-09,Japan,Email,Mobile,Safari,/blog,1680,14,0,0
80,2025-07-09,Spain,Direct,Mobile,Chrome,/,1425,2,0,0
81,2025-10-23,Japan,Direct,Mobile,Opera,/,1445,7,1,0
82,2025-08-01,Australia,Social Media,Mobile,Safari,/,182,1,0,0
83,2025-07-27,Germany,Direct,Desktop,Chrome,/blog,884,2,0,0
84,2025-08-25,UK,Social Media,Mobile,Safari,/,210,6,0,0
85,2025-12-04,India,Paid Ads,Tablet,Edge,/home,226,11,1,0
86,2025-02-22,Netherlands,Email,Mobile,Firefox,/blog,385,5,1,0
87,2025-10-07,Germany,Referral,Mobile,Safari,/about,1753,8,0,0
88,2025-08-05,India,Paid Ads,Mobile,Chrome,/contact,1619,12,1,0
89,2025-09-09,Indonesia,Email,Mobile,Edge,/about,20,11,1,0
90,2025-07-07,India,Social Media,Mobile,Opera,/blog,1045,2,0,0
91,2025-02-10,UK,Email,Desktop,Edge,/blog,901,1,0,0
92,2025-06-06,South Africa,Social Media,Desktop,Firefox,/products,1623,7,0,0
93,2025-01-15,Spain,Paid Ads,Mobile,Edge,/products,444,6,1,0
94,2025-10-28,Japan,Organic Search,Desktop,Opera,/products,1717,8,1,0
95,2025-03-06,Indonesia,Organic Search,Mobile,Chrome,/login,1641,11,0,0
96,2025-12-11,Spain,Email,Mobile,Safari,/login,827,13,0,0
97,2025-11-23,Australia,Organic Search,Mobile,Firefox,/pricing,1406,14,0,0
98,2025-01-09,USA,Social Media,Desktop,Opera,/login,1306,8,1,0
99,2025-12-10,Pakistan,Direct,Desktop,Firefox,/home,940,2,1,0
100,2025-05-09,Turkey,Social Media,Tablet,Edge,/blog,700,14,0,0
101,2025-05-16,USA,Direct,Mobile,Firefox,/about,1609,8,0,1
102,2025-03-04,Italy,Paid Ads,Mobile,Opera,/blog,1542,6,0,0
103,2025-05-19,Pakistan,Referral,Mobile,Safari,/products,1165,9,1,0
104,2025-03-22,Turkey,Direct,Mobile,Safari,/blog,864,12,0,0
105,2025-06-12,Indonesia,Organic Search,Mobile,Firefox,/contact,793,7,0,0
106,2025-10-16,USA,Social Media,Mobile,Chrome,/login,328,2,1,0
107,2025-09-18,Saudi Arabia,Paid Ads,Desktop,Firefox,/blog,853,8,0,0
108,2025-08-19,Saudi Arabia,Organic Search,Mobile,Edge,/about,630,9,1,0
109,2025-02-10,Canada,Paid Ads,Mobile,Safari,/,794,7,0,0
110,2025-01-28,Italy,Referral,Tablet,Safari,/contact,1201,4,0,0
111,2025-05-15,India,Social Media,Desktop,Safari,/contact,406,9,1,0
112,2025-07-20,Australia,Email,Mobile,Chrome,/blog,1213,4,0,0
113,2025-11-24,Canada,Social Media,Mobile,Chrome,/pricing,1091,12,0,0
114,2025-09-25,China,Referral,Mobile,Opera,/products,1513,4,0,1
115,2025-02-02,Netherlands,Social Media,Desktop,Firefox,/home,1624,9,0,0
116,2025-02-17,Netherlands,Email,Mobile,Firefox,/home,469,14,0,1
117,2025-03-03,Brazil,Direct,Mobile,Edge,/,70,8,1,0
118,2025-08-04,UK,Paid Ads,Desktop,Safari,/home,378,4,1,0
119,2025-10-20,Netherlands,Email,Mobile,Chrome,/home,1154,14,1,0
120,2025-04-09,Japan,Organic Search,Mobile,Edge,/products,728,8,0,0
121,2025-06-21,Canada,Referral,Mobile,Edge,/login,555,8,1,0
122,2025-12-26,China,Direct,Tablet,Chrome,/products,1615,7,1,1
123,2025-08-02,UAE,Organic Search,Desktop,Firefox,/pricing,1050,10,0,0
124,2025-02-04,UK,Organic Search,Desktop,Safari,/about,505,13,0,0
125,2025-08-15,India,Referral,Mobile,Firefox,/,506,6,0,0
126,2025-04-11,Italy,Direct,Desktop,Edge,/home,514,8,1,0
127,2025-05-11,France,Organic Search,Desktop,Safari,/pricing,1565,7,0,0
128,2025-09-14,UK,Organic Search,Desktop,Opera,/,978,5,1,0
129,2025-01-05,UAE,Direct,Desktop,Edge,/contact,1348,12,0,0
130,2025-08-06,France,Social Media,Mobile,Firefox,/home,1102,13,1,1
131,2025-09-12,Turkey,Organic Search,Desktop,Firefox,/home,1760,13,0,0
132,2025-12-25,Italy,Paid Ads,Mobile,Firefox,/products,170,4,0,0
133,2025-10-10,Germany,Direct,Desktop,Chrome,/blog,1647,14,0,0
134,2025-07-26,Turkey,Organic Search,Mobile,Edge,/,727,12,0,0
135,2025-01-15,Australia,Referral,Desktop,Safari,/home,1178,2,1,0
136,2025-12-12,UAE,Email,Mobile,Firefox,/login,1602,11,1,0
137,2025-02-11,India,Paid Ads,Mobile,Firefox,/,1628,8,0,0
138,2025-06-28,Netherlands,Email,Desktop,Chrome,/about,1002,9,0,0
139,2025-03-04,South Africa,Email,Mobile,Safari,/login,1418,4,0,0
140,2025-12-18,Italy,Organic Search,Desktop,Edge,/pricing,278,4,0,0
141,2025-08-19,Australia,Paid Ads,Mobile,Opera,/login,1487,5,0,0
142,2025-08-29,Spain,Paid Ads,Desktop,Chrome,/pricing,708,2,1,0
143,2025-02-21,Australia,Social Media,Tablet,Edge,/blog,1551,7,1,0
144,2025-04-06,UAE,Email,Desktop,Opera,/home,874,5,0,0
145,2025-08-10,Turkey,Paid Ads,Mobile,Firefox,/login,359,6,0,0
146,2025-08-19,Turkey,Social Media,Desktop,Firefox,/about,119,4,0,0
147,2025-08-25,Germany,Direct,Desktop,Safari,/products,1516,8,0,0
148,2025-05-23,Australia,Social Media,Mobile,Opera,/home,416,8,0,0
149,2025-06-20,Indonesia,Referral,Tablet,Firefox,/,659,12,0,0
150,2025-01-29,Turkey,Organic Search,Desktop,Firefox,/contact,60,5,0,0
151,2025-02-05,Germany,Direct,Desktop,Safari,/pricing,1436,12,0,0
152,2025-01-13,Spain,Direct,Desktop,Edge,/,1596,6,0,0
153,2025-06-09,Indonesia,Referral,Desktop,Firefox,/blog,1509,3,0,0
154,2025-11-23,UK,Social Media,Desktop,Chrome,/pricing,1120,1,0,0
155,2025-07-06,Netherlands,Organic Search,Mobile,Chrome,/products,1101,9,1,0
156,2025-08-31,Germany,Social Media,Desktop,Edge,/pricing,605,9,1,0
157,2025-03-27,UAE,Paid Ads,Desktop,Opera,/contact,988,3,1,1
158,2025-10-11,Mexico,Social Media,Mobile,Safari,/login,1075,4,0,0
159,2025-03-07,Netherlands,Direct,Mobile,Chrome,/about,740,13,0,0
160,2025-06-19,Turkey,Organic Search,Desktop,Chrome,/login,66,7,0,0
161,2025-02-14,Canada,Social Media,Desktop,Edge,/home,747,2,0,0
162,2025-03-03,China,Organic Search,Mobile,Opera,/contact,205,12,1,0
163,2025-05-14,UAE,Organic Search,Desktop,Opera,/about,1793,3,0,0
164,2025-10-11,Brazil,Paid Ads,Mobile,Edge,/contact,1711,6,0,0
165,2025-01-28,Germany,Paid Ads,Desktop,Chrome,/home,1095,11,0,0
166,2025-04-18,South Africa,Direct,Mobile,Safari,/pricing,1296,8,0,0
167,2025-02-13,UK,Referral,Desktop,Chrome,/blog,121,1,1,0
168,2025-12-06,Saudi Arabia,Organic Search,Mobile,Opera,/home,774,4,0,0
169,2025-10-13,Spain,Referral,Mobile,Chrome,/home,720,1,0,0
170,2025-11-27,Germany,Direct,Mobile,Safari,/about,1211,2,0,0
171,2025-05-08,Australia,Organic Search,Desktop,Firefox,/products,957,8,1,0
172,2025-12-14,Pakistan,Organic Search,Desktop,Chrome,/login,35,6,0,1
173,2025-08-19,Italy,Email,Desktop,Edge,/pricing,419,9,0,0
174,2025-07-09,Brazil,Referral,Desktop,Firefox,/home,767,2,0,0
175,2025-08-13,Pakistan,Social Media,Desktop,Edge,/blog,540,3,1,0
176,2025-10-10,Spain,Paid Ads,Mobile,Edge,/,1350,9,0,0
177,2025-05-01,Pakistan,Social Media,Mobile,Edge,/pricing,1565,9,0,0
178,2025-04-26,Saudi Arabia,Referral,Mobile,Chrome,/products,1139,13,1,0
179,2025-08-21,Brazil,Paid Ads,Mobile,Opera,/contact,758,6,1,0
180,2025-09-16,Brazil,Social Media,Mobile,Firefox,/home,1497,14,0,0
181,2025-12-25,Germany,Email,Desktop,Safari,/blog,255,3,1,0
182,2025-07-17,Mexico,Paid Ads,Mobile,Opera,/pricing,1114,5,0,0
183,2025-05-17,Germany,Organic Search,Desktop,Chrome,/blog,671,2,1,0
184,2025-11-14,Pakistan,Social Media,Mobile,Edge,/blog,918,7,0,0
185,2025-06-14,USA,Paid Ads,Mobile,Safari,/login,405,10,0,0
186,2025-08-13,Italy,Email,Mobile,Firefox,/about,531,11,1,0
187,2025-11-03,Spain,Paid Ads,Mobile,Opera,/contact,1769,8,1,0
188,2025-08-22,Brazil,Paid Ads,Desktop,Opera,/products,935,6,0,1
189,2025-06-21,Turkey,Email,Mobile,Safari,/login,273,8,1,0
190,2025-06-01,Spain,Social Media,Mobile,Chrome,/pricing,1694,2,0,0
191,2025-11-11,Japan,Direct,Mobile,Firefox,/home,799,3,1,0
192,2025-06-09,Japan,Social Media,Mobile,Safari,/products,1307,7,0,0
193,2025-04-06,Turkey,Referral,Desktop,Edge,/home,1739,10,0,0
194,2025-08-21,Brazil,Email,Desktop,Firefox,/,181,12,0,0
195,2025-06-29,Brazil,Social Media,Desktop,Opera,/blog,274,1,0,0
196,2025-04-23,China,Paid Ads,Desktop,Safari,/,1059,7,0,0
197,2025-11-14,UAE,Email,Mobile,Opera,/about,1502,6,0,0
198,2025-02-21,Saudi Arabia,Organic Search,Mobile,Opera,/blog,485,8,0,0
199,2025-09-25,France,Social Media,Mobile,Opera,/contact,365,7,1,0
200,2025-10-22,Germany,Email,Mobile,Chrome,/products,1059,4,0,0
201,2025-04-23,South Africa,Social Media,Mobile,Opera,/home,43,3,0,0
202,2025-04-11,Indonesia,Email,Mobile,Edge,/login,273,3,0,0
203,2025-04-23,Germany,Paid Ads,Desktop,Edge,/about,1171,4,0,0
204,2025-03-22,Pakistan,Organic Search,Mobile,Firefox,/contact,825,9,0,0
205,2025-07-06,Brazil,Organic Search,Desktop,Opera,/home,1728,9,0,0
206,2025-04-23,South Africa,Referral,Desktop,Opera,/products,884,13,0,0
207,2025-01-02,Indonesia,Email,Mobile,Safari,/pricing,763,2,0,0
208,2025-05-10,Germany,Social Media,Desktop,Chrome,/about,575,5,0,0
209,2025-08-08,Brazil,Organic Search,Desktop,Firefox,/,471,1,0,0
210,2025-02-23,USA,Organic Search,Desktop,Opera,/,1201,4,1,1
211,2025-12-09,South Africa,Direct,Desktop,Safari,/login,1664,2,0,0
212,2025-08-12,France,Direct,Tablet,Chrome,/home,664,8,1,0
213,2025-08-13,Turkey,Organic Search,Desktop,Firefox,/home,90,4,0,0
214,2025-05-06,Saudi Arabia,Email,Desktop,Firefox,/home,766,5,1,0
215,2025-05-10,Canada,Referral,Mobile,Opera,/about,879,11,0,0
216,2025-02-22,Italy,Organic Search,Mobile,Firefox,/products,1440,4,0,0
217,2025-06-21,UK,Paid Ads,Tablet,Safari,/pricing,1607,5,1,0
218,2025-08-06,USA,Social Media,Desktop,Firefox,/,1079,5,0,0
219,2025-06-09,Saudi Arabia,Referral,Mobile,Edge,/contact,608,5,0,0
220,2025-07-17,UAE,Paid Ads,Mobile,Safari,/blog,1644,11,0,0
221,2025-09-04,France,Referral,Tablet,Chrome,/about,816,3,1,0
222,2025-11-20,Turkey,Paid Ads,Mobile,Chrome,/about,1086,7,0,0
223,2025-07-22,Canada,Social Media,Mobile,Opera,/products,993,3,0,0
224,2025-07-03,Pakistan,Social Media,Desktop,Opera,/,713,2,1,0
225,2025-05-03,Australia,Direct,Mobile,Edge,/login,485,3,0,0
226,2025-09-12,Brazil,Email,Mobile,Chrome,/pricing,601,11,1,0
227,2025-10-21,Japan,Paid Ads,Mobile,Chrome,/products,25,3,0,0
228,2025-10-07,Netherlands,Direct,Desktop,Chrome,/contact,1393,8,1,0
229,2025-11-21,Spain,Paid Ads,Desktop,Chrome,/,496,4,0,0
230,2025-04-08,UK,Direct,Desktop,Firefox,/products,715,3,0,0
231,2025-07-17,Canada,Social Media,Desktop,Safari,/,1535,10,0,0
232,2025-08-28,Pakistan,Referral,Desktop,Safari,/,1174,5,0,0
233,2025-05-24,South Africa,Direct,Tablet,Edge,/login,629,4,0,0
234,2025-04-07,Canada,Paid Ads,Mobile,Firefox,/about,1028,9,0,0
235,2025-07-20,Brazil,Paid Ads,Mobile,Chrome,/pricing,786,8,0,0
236,2025-05-04,Pakistan,Email,Mobile,Chrome,/about,456,11,0,0
237,2025-07-06,Japan,Social Media,Mobile,Opera,/blog,299,7,0,0
238,2025-11-22,Saudi Arabia,Paid Ads,Desktop,Opera,/pricing,218,8,0,0
239,2025-12-15,Australia,Organic Search,Desktop,Edge,/,1508,13,0,0
240,2025-09-16,Pakistan,Referral,Desktop,Chrome,/products,422,5,0,0
241,2025-05-28,Netherlands,Direct,Mobile,Edge,/contact,686,4,0,0
242,2025-09-09,Indonesia,Email,Mobile,Firefox,/login,1460,7,0,0
243,2025-12-12,Germany,Referral,Desktop,Safari,/pricing,1404,1,1,0
244,2025-05-27,India,Social Media,Mobile,Chrome,/blog,673,6,0,0
245,2025-05-28,Brazil,Email,Tablet,Firefox,/,299,8,0,0
246,2025-12-18,Pakistan,Direct,Mobile,Chrome,/contact,1465,7,0,0
247,2025-07-18,Spain,Direct,Mobile,Opera,/pricing,1301,2,1,0
248,2025-11-04,Netherlands,Organic Search,Mobile,Edge,/about,160,14,0,0
249,2025-05-08,Germany,Social Media,Desktop,Opera,/about,1752,13,1,0
250,2025-02-08,China,Email,Mobile,Safari,/pricing,1288,14,0,1
251,2025-12-04,France,Email,Desktop,Opera,/pricing,1386,7,1,0
252,2025-12-26,USA,Paid Ads,Mobile,Chrome,/pricing,1410,13,0,0
253,2025-05-09,Germany,Organic Search,Mobile,Opera,/contact,1686,6,0,0
254,2025-09-24,Canada,Organic Search,Desktop,Chrome,/about,864,13,0,0
255,2025-05-31,Japan,Email,Mobile,Safari,/products,1391,5,1,0
256,2025-10-25,China,Email,Tablet,Opera,/blog,617,4,1,0
257,2025-04-09,USA,Referral,Desktop,Edge,/blog,379,1,0,0
258,2025-09-20,India,Referral,Mobile,Edge,/login,1260,13,0,0
259,2025-09-09,Japan,Referral,Desktop,Edge,/,714,2,0,0
260,2025-05-24,Pakistan,Organic Search,Mobile,Opera,/home,1336,7,0,1
261,2025-12-12,Germany,Paid Ads,Mobile,Opera,/products,835,10,0,0
262,2025-04-22,Spain,Direct,Mobile,Opera,/about,1014,3,0,0
263,2025-03-01,Saudi Arabia,Referral,Tablet,Chrome,/,1422,5,1,0
264,2025-01-02,UK,Paid Ads,Mobile,Safari,/login,386,8,0,0
265,2025-10-31,France,Social Media,Mobile,Edge,/,982,13,0,0
266,2025-09-11,Italy,Referral,Desktop,Chrome,/pricing,127,13,0,0
267,2025-05-20,China,Direct,Tablet,Edge,/home,1038,8,1,0
268,2025-02-06,India,Social Media,Desktop,Chrome,/about,453,6,1,1
269,2025-06-09,China,Social Media,Mobile,Opera,/home,1385,5,0,0
270,2025-01-09,South Africa,Direct,Desktop,Edge,/products,764,13,1,0
271,2025-08-21,Canada,Referral,Desktop,Opera,/home,1566,2,1,0
272,2025-04-09,Italy,Organic Search,Mobile,Edge,/,1697,9,0,0
273,2025-05-27,Canada,Direct,Desktop,Firefox,/home,649,1,0,0
274,2025-10-31,India,Direct,Desktop,Chrome,/home,133,11,1,0
275,2025-07-27,UK,Direct,Desktop,Firefox,/blog,667,2,0,0
276,2025-05-11,Italy,Social Media,Desktop,Chrome,/about,1310,13,0,0
277,2025-06-01,UK,Paid Ads,Desktop,Safari,/about,831,1,0,1
278,2025-02-23,India,Organic Search,Desktop,Edge,/,1427,12,0,0
279,2025-04-30,Saudi Arabia,Referral,Mobile,Safari,/contact,673,4,1,0
280,2025-06-10,Canada,Referral,Desktop,Safari,/home,369,4,0,0
281,2025-04-26,UK,Paid Ads,Mobile,Chrome,/home,632,5,0,0
282,2025-03-16,Mexico,Direct,Desktop,Firefox,/pricing,1502,5,1,0
283,2025-04-23,China,Organic Search,Tablet,Opera,/about,1661,8,0,0
284,2025-04-14,Italy,Referral,Mobile,Chrome,/home,1733,11,0,0
285,2025-12-06,Germany,Email,Desktop,Opera,/about,1090,11,1,1
286,2025-09-11,France,Referral,Mobile,Safari,/home,1284,3,0,0
287,2025-08-15,Spain,Direct,Mobile,Opera,/blog,928,6,0,0
288,2025-04-22,Turkey,Email,Tablet,Firefox,/,1183,12,0,0
289,2025-04-09,UAE,Paid Ads,Mobile,Chrome,/about,461,13,0,0
290,2025-06-02,Brazil,Organic Search,Desktop,Firefox,/products,1195,12,1,0
291,2025-12-15,UAE,Paid Ads,Mobile,Firefox,/,129,3,0,0
292,2025-12-04,Italy,Paid Ads,Mobile,Chrome,/pricing,591,13,0,0
293,2025-07-13,Saudi Arabia,Organic Search,Mobile,Firefox,/,1384,2,0,0
294,2025-11-06,UAE,Organic Search,Desktop,Edge,/home,108,8,0,0
295,2025-06-12,Italy,Referral,Mobile,Edge,/pricing,1200,1,1,1
296,2025-07-27,China,Referral,Tablet,Edge,/,1696,9,1,1
297,2025-06-18,Mexico,Organic Search,Desktop,Opera,/login,523,11,1,1
298,2025-06-10,Canada,Email,Desktop,Firefox,/pricing,673,7,0,0
299,2025-03-09,UAE,Social Media,Desktop,Chrome,/login,410,12,1,1
300,2025-10-16,Spain,Referral,Mobile,Chrome,/products,374,10,0,1
301,2025-10-04,Indonesia,Social Media,Mobile,Opera,/,1610,13,1,1
302,2025-10-31,China,Email,Mobile,Chrome,/about,1359,12,1,0
303,2025-05-15,France,Organic Search,Mobile,Edge,/about,590,11,0,0
304,2025-07-14,Mexico,Email,Mobile,Firefox,/contact,1666,4,0,0
305,2025-05-08,China,Referral,Desktop,Chrome,/home,630,3,0,0
306,2025-02-02,Italy,Paid Ads,Mobile,Chrome,/login,837,6,0,0
307,2025-06-25,USA,Organic Search,Mobile,Safari,/pricing,256,9,1,0
308,2025-01-22,Mexico,Direct,Tablet,Safari,/contact,443,9,0,1
309,2025-08-26,India,Social Media,Tablet,Safari,/contact,1126,4,0,0
310,2025-06-07,South Africa,Email,Tablet,Firefox,/blog,1301,10,0,0
311,2025-02-07,China,Organic Search,Mobile,Edge,/login,624,5,1,1
312,2025-08-18,Pakistan,Email,Mobile,Edge,/pricing,952,11,0,1
313,2025-12-31,USA,Organic Search,Mobile,Edge,/contact,972,13,0,0
314,2025-02-20,UAE,Referral,Tablet,Firefox,/blog,633,9,0,0
315,2025-09-21,Italy,Referral,Desktop,Firefox,/contact,330,2,0,0
316,2025-10-10,India,Referral,Desktop,Safari,/home,865,2,0,0
317,2025-01-27,Mexico,Email,Desktop,Chrome,/products,71,5,1,0
318,2025-08-14,UK,Direct,Mobile,Opera,/login,309,1,0,0
319,2025-10-04,Netherlands,Referral,Desktop,Opera,/blog,412,8,0,0
320,2025-10-13,Germany,Organic Search,Desktop,Chrome,/products,964,5,0,0
321,2025-04-07,USA,Referral,Desktop,Safari,/pricing,1681,12,0,1
322,2025-10-11,South Africa,Paid Ads,Desktop,Chrome,/home,1600,10,0,0
323,2025-11-13,Spain,Referral,Mobile,Chrome,/blog,1653,2,0,0
324,2025-10-31,UK,Email,Desktop,Opera,/pricing,1336,12,0,0
325,2025-05-27,Japan,Direct,Mobile,Safari,/contact,262,9,0,0
326,2025-01-04,UK,Paid Ads,Mobile,Firefox,/about,1767,2,0,1
327,2025-02-04,Japan,Email,Mobile,Opera,/,487,7,1,0
328,2025-07-11,USA,Email,Desktop,Firefox,/pricing,1402,8,0,0
329,2025-02-18,Australia,Email,Tablet,Safari,/products,1712,14,1,0
330,2025-01-17,Canada,Organic Search,Mobile,Chrome,/home,169,6,1,0
331,2025-06-21,Mexico,Email,Tablet,Edge,/home,970,14,0,0
332,2025-08-08,Germany,Organic Search,Tablet,Edge,/pricing,1199,11,1,0
333,2025-06-07,South Africa,Email,Desktop,Safari,/contact,214,7,0,0
334,2025-02-15,India,Social Media,Desktop,Edge,/,1300,11,0,0
335,2025-01-06,Canada,Paid Ads,Desktop,Firefox,/login,1171,1,0,0
336,2025-04-09,Australia,Social Media,Mobile,Edge,/products,1401,4,0,0
337,2025-08-21,Turkey,Email,Desktop,Safari,/pricing,1476,13,0,0
338,2025-02-06,France,Paid Ads,Desktop,Safari,/pricing,867,7,0,0
339,2025-10-07,Mexico,Paid Ads,Mobile,Firefox,/about,769,1,0,0
340,2025-12-15,Brazil,Direct,Desktop,Edge,/home,1600,13,0,0
341,2025-10-29,Italy,Social Media,Desktop,Edge,/products,730,1,0,0
342,2025-06-30,Turkey,Direct,Mobile,Chrome,/,1050,11,0,0
343,2025-04-05,Saudi Arabia,Paid Ads,Desktop,Opera,/home,77,6,0,0
344,2025-04-09,Brazil,Organic Search,Mobile,Safari,/pricing,142,4,0,1
345,2025-07-07,India,Paid Ads,Mobile,Chrome,/home,1733,3,0,0
346,2025-04-26,South Africa,Direct,Mobile,Safari,/home,928,12,0,0
347,2025-07-10,Spain,Social Media,Mobile,Chrome,/blog,439,5,1,1
348,2025-09-10,Canada,Email,Mobile,Opera,/home,317,9,1,0
349,2025-06-10,Brazil,Email,Mobile,Chrome,/contact,659,10,0,0
350,2025-09-13,Netherlands,Social Media,Mobile,Safari,/home,1207,10,1,0
351,2025-11-19,India,Email,Mobile,Edge,/login,421,12,0,0
352,2025-05-08,Canada,Email,Mobile,Safari,/contact,106,14,0,0
353,2025-01-18,UAE,Direct,Mobile,Firefox,/products,1716,14,1,0
